Gemeinde, Frauen  +/- pro 100,20-24  jährigeFrauen +/- pro 100,25-29  jährigeFrauen +/- pro 100,30-34  jährigeFrauen +/- pro 100,35-39  jährigeFrauen +/- pro 100,40-44  jährigeFrauen +/- pro 100,45-49  jährigeFrauen +/- pro 100,50-54  jährigeFrauen +/- pro 100,55-59  jährigeFrauen +/- pro 100,60-64  jährigeFrauen +/- pro 100,65-69  jährigeFrauen +/- pro 100,70-74  jährigeFrauen +/- pro 100,75-79  jährigeFrauen +/- pro 100,80-84  jährigeFrauen +/- pro 100,85-89  jährigeFrauen +/- pro 100,90-94  jährigeFrauen +/- pro 100, Männer  +/- pro 100,20-24  jährigeMänner +/- pro 100,25-29  jährigeMänner +/- pro 100,30-34  jährigeMänner +/- pro 100,35-39  jährigeMänner +/- pro 100,40-44  jährigeMänner +/- pro 100,45-49  jährigeMänner +/- pro 100,50-54  jährigeMänner +/- pro 100,55-59  jährigeMänner +/- pro 100,60-64  jährigeMänner +/- pro 100,65-69  jährigeMänner +/- pro 100,70-74  jährigeMänner +/- pro 100,75-79  jährigeMänner +/- pro 100,80-84  jährigeMänner +/- pro 100,85-89  jährigeMänner +/- pro 100,90-94  jährigeMänner +/- pro 100
Buch am Irchel,2.0,-0.1,-1.7,-0.1,0.0,-0.4,0.5,0.2,0.5,0.3,-0.1,-0.5,0.0,0.3,0.4,0.2,-2.0,0.1,1.7,0.1,0.0,0.4,-0.5,-0.2,-0.5,-0.3,0.1,0.5,0.0,-0.3,-0.4,-0.2
Dachsen,-1.3,-0.4,-0.3,-0.8,-0.5,0.2,-0.3,-0.1,0.1,0.2,0.1,0.3,0.8,0.4,0.5,0.2,1.3,0.4,0.3,0.8,0.5,-0.2,0.3,0.1,-0.1,-0.2,-0.1,-0.3,-0.8,-0.4,-0.5,-0.2
Dorf,0.5,1.8,-1.1,0.3,-0.6,-0.2,0.0,0.3,0.3,0.5,0.3,0.0,0.2,0.2,0.2,0.0,-0.5,-1.8,1.1,-0.3,0.6,0.2,0.0,-0.3,-0.3,-0.5,-0.3,0.0,-0.2,-0.2,-0.2,0.0
Feuerthalen,1.0,-0.3,-0.4,-0.1,-0.8,-0.4,-0.4,-0.5,-0.3,0.0,0.3,0.3,0.7,0.6,0.8,0.3,-1.0,0.3,0.4,0.1,0.8,0.4,0.4,0.5,0.3,-0.0,-0.3,-0.3,-0.7,-0.6,-0.8,-0.3
Flaach,-0.1,-0.1,-0.5,-0.6,-0.4,-0.1,-0.6,-0.1,-0.8,0.3,0.1,0.4,0.7,0.9,0.5,0.1,0.1,0.1,0.5,0.6,0.4,0.1,0.6,0.1,0.8,-0.3,-0.1,-0.4,-0.7,-0.9,-0.5,-0.1
Flurlingen,-1.3,-0.8,-0.2,-0.6,-0.4,0.1,0.0,-0.1,0.1,0.5,-0.1,0.1,0.7,0.6,0.5,0.0,1.3,0.8,0.2,0.6,0.4,-0.1,0.0,0.1,-0.1,-0.5,0.1,-0.1,-0.7,-0.6,-0.5,0.0
Andelfingen,1.9,0.3,-0.2,-0.7,-0.7,0.0,-0.2,-0.9,0.2,0.7,0.5,0.6,0.3,1.1,0.3,0.1,-1.9,-0.3,0.2,0.7,0.7,0.0,0.2,0.9,-0.2,-0.7,-0.5,-0.6,-0.3,-1.1,-0.3,-0.1
Henggart,4.2,0.6,0.0,0.0,0.0,-0.0,-0.0,0.2,0.5,0.3,0.1,0.2,0.5,0.6,0.4,0.1,-4.2,-0.6,0.0,-0.0,-0.0,0.0,0.0,-0.2,-0.5,-0.3,-0.1,-0.2,-0.5,-0.6,-0.4,-0.1
Humlikon,1.0,0.6,0.0,0.0,0.0,0.0,0.8,0.2,1.0,0.6,0.4,0.0,0.8,-0.2,0.0,0.0,-1.0,-0.6,0.0,0.0,0.0,0.0,-0.8,-0.2,-1.0,-0.6,-0.4,0.0,-0.8,0.2,0.0,0.0
Kleinandelfingen,1.8,-0.1,-0.0,-0.5,-0.2,0.4,-0.8,0.7,-0.1,0.1,0.3,0.1,0.4,0.4,0.8,0.1,-1.8,0.1,0.0,0.5,0.2,-0.4,0.8,-0.7,0.1,-0.1,-0.3,-0.1,-0.4,-0.4,-0.8,-0.1
Laufen-Uhwiesen,1.0,0.0,-0.1,-0.5,-0.6,0.2,0.2,-0.1,-0.4,0.3,0.6,0.1,0.4,0.6,0.4,0.4,-1.0,0.0,0.1,0.5,0.6,-0.2,-0.2,0.1,0.4,-0.3,-0.6,-0.1,-0.4,-0.6,-0.4,-0.4
Marthalen,1.2,-0.4,0.0,-0.5,-0.6,0.1,-0.3,0.2,0.3,0.2,0.0,0.1,0.8,0.6,0.6,0.4,-1.2,0.4,0.0,0.5,0.6,-0.1,0.3,-0.2,-0.3,-0.2,0.0,-0.1,-0.8,-0.6,-0.6,-0.4
Oberstammheim,0.1,-1.7,-0.8,-1.1,-0.3,0.2,-0.1,-0.3,0.3,-0.1,0.5,0.7,0.4,1.4,0.6,0.3,-0.1,1.7,0.8,1.1,0.3,-0.2,0.1,0.3,-0.3,0.1,-0.5,-0.7,-0.4,-1.4,-0.6,-0.3
Ossingen,-1.4,-0.4,0.0,0.4,0.1,-0.1,-0.6,-0.1,-0.4,0.4,0.1,0.1,0.0,0.8,0.3,0.1,1.4,0.4,0.0,-0.4,-0.1,0.1,0.6,0.1,0.4,-0.4,-0.1,-0.1,0.0,-0.8,-0.3,-0.1
Rheinau,2.0,-0.8,-0.3,-0.3,0.5,0.4,-0.3,0.2,-0.2,0.7,0.3,0.1,0.5,1.1,1.1,0.6,-2.0,0.8,0.3,0.3,-0.5,-0.4,0.3,-0.2,0.2,-0.7,-0.3,-0.1,-0.5,-1.1,-1.1,-0.6
Thalheim an der Thur,-3.1,-0.8,0.6,-0.7,0.3,-1.2,0.0,-0.6,0.4,-0.7,0.2,0.9,0.2,0.0,0.4,0.4,3.1,0.8,-0.6,0.7,-0.3,1.2,0.0,0.6,-0.4,0.7,-0.2,-0.9,-0.2,0.0,-0.4,-0.4
Trüllikon,-4.0,-0.7,0.0,-1.2,-0.5,-0.8,0.7,0.5,0.2,0.2,0.3,0.0,-0.1,-0.4,0.8,0.3,4.0,0.7,0.0,1.2,0.5,0.8,-0.7,-0.5,-0.2,-0.2,-0.3,0.0,0.1,0.4,-0.8,-0.3
Truttikon,4.0,-1.1,-0.4,0.0,0.0,0.4,-0.6,-0.2,0.4,1.3,0.2,0.6,1.1,0.2,0.2,0.0,-4.0,1.1,0.4,0.0,0.0,-0.4,0.6,0.2,-0.4,-1.3,-0.2,-0.6,-1.1,-0.2,-0.2,0.0
Unterstammheim,0.0,-1.3,-1.7,-0.1,0.1,-0.5,-0.2,0.1,-0.3,-0.2,-0.1,0.2,0.6,1.2,1.5,0.4,0.0,1.3,1.7,0.1,-0.1,0.5,0.2,-0.1,0.3,0.2,0.1,-0.2,-0.6,-1.2,-1.5,-0.4
Volken,-2.7,-2.7,0.6,-0.6,0.0,0.0,0.3,0.3,-0.3,0.0,0.6,0.3,0.0,0.0,0.0,0.3,2.7,2.7,-0.6,0.6,0.0,0.0,-0.3,-0.3,0.3,0.0,-0.6,-0.3,0.0,0.0,0.0,-0.3
Waltalingen,1.0,-0.3,-1.0,-0.1,-0.7,-0.1,0.4,-0.3,0.9,-0.3,0.6,0.4,1.6,0.7,0.7,0.0,-1.0,0.3,1.0,0.1,0.7,0.1,-0.4,0.3,-0.9,0.3,-0.6,-0.4,-1.6,-0.7,-0.7,0.0
Bachenbülach,0.9,-0.1,-0.4,-0.5,-0.1,0.1,-0.2,-0.0,0.5,0.0,0.6,0.5,0.5,0.4,0.4,0.0,-0.9,0.1,0.4,0.5,0.1,-0.1,0.2,0.0,-0.5,-0.0,-0.6,-0.5,-0.5,-0.4,-0.4,0.0
Bassersdorf,0.1,-0.2,-0.5,-0.6,-0.1,-0.1,-0.2,0.2,0.1,0.3,0.4,0.3,0.3,0.4,0.3,0.2,-0.1,0.2,0.5,0.6,0.1,0.1,0.2,-0.2,-0.1,-0.3,-0.4,-0.3,-0.3,-0.4,-0.3,-0.2
Bülach,1.7,-0.3,-0.7,-0.5,-0.2,-0.1,0.2,0.4,0.3,0.2,0.5,0.5,0.7,0.5,0.4,0.2,-1.7,0.3,0.7,0.5,0.2,0.1,-0.2,-0.4,-0.3,-0.2,-0.5,-0.5,-0.7,-0.5,-0.4,-0.2
Dietlikon,2.0,0.0,0.1,-0.7,-0.5,-0.2,0.1,-0.3,0.5,0.5,0.3,0.8,0.6,0.7,0.5,0.3,-2.0,-0.0,-0.1,0.7,0.5,0.2,-0.1,0.3,-0.5,-0.5,-0.3,-0.8,-0.6,-0.7,-0.5,-0.3
Eglisau,-0.1,-0.5,-0.4,-0.4,-0.3,-0.3,-0.3,0.2,0.3,-0.0,0.2,0.1,0.6,0.2,0.5,0.2,0.1,0.5,0.4,0.4,0.3,0.3,0.3,-0.2,-0.3,0.0,-0.2,-0.1,-0.6,-0.2,-0.5,-0.2
Embrach,-0.7,-1.0,-0.6,-0.4,-0.3,-0.4,-0.3,0.1,0.0,0.4,0.5,0.3,0.7,0.4,0.3,0.1,0.7,1.0,0.6,0.4,0.3,0.4,0.3,-0.1,0.0,-0.4,-0.5,-0.3,-0.7,-0.4,-0.3,-0.1
Freienstein-Teufen,-0.8,0.2,-0.8,-0.4,-0.3,-0.5,0.0,-0.4,0.0,0.4,0.1,-0.1,0.4,0.3,0.3,0.1,0.8,-0.2,0.8,0.4,0.3,0.5,0.0,0.4,-0.0,-0.4,-0.1,0.1,-0.4,-0.3,-0.3,-0.1
